Date,Open,High,Low,Close,Volume,Instrument,Ticker
2022-11-22,1174.51708984375,1185.3623046875,1170.5943603515625,1183.7701416015625,6611488,RELIANCE,RELIANCE.NS
2022-11-23,1188.362060546875,1189.700439453125,1177.8629150390625,1180.078125,6413408,RELIANCE,RELIANCE.NS
2022-11-24,1184.2086181640625,1197.130615234375,1175.993896484375,1190.2542724609375,9389439,RELIANCE,RELIANCE.NS
2022-11-25,1194.8231201171875,1211.390869140625,1191.638671875,1208.02197265625,7349922,RELIANCE,RELIANCE.NS
2022-11-28,1204.0069580078125,1255.76416015625,1154.672607421875,1249.533935546875,31527484,RELIANCE,RELIANCE.NS
2022-11-29,1247.8724365234375,1260.656005859375,1243.280517578125,1251.6798095703125,11058913,RELIANCE,RELIANCE.NS
2022-11-30,1251.818359375,1267.0247802734375,1245.2188720703125,1260.517578125,26164986,RELIANCE,RELIANCE.NS
2022-12-01,1265.3402099609375,1271.4320068359375,1253.43359375,1256.802490234375,9485801,RELIANCE,RELIANCE.NS
2022-12-02,1259.89453125,1268.2015380859375,1246.326416015625,1256.271728515625,11589592,RELIANCE,RELIANCE.NS
2022-12-05,1251.5875244140625,1253.7796630859375,1235.8966064453125,1237.9501953125,14828536,RELIANCE,RELIANCE.NS
2022-12-06,1229.9432373046875,1244.6650390625,1228.051025390625,1241.52685546875,8594245,RELIANCE,RELIANCE.NS
2022-12-07,1239.1270751953125,1243.7420654296875,1219.351806640625,1223.205322265625,8462111,RELIANCE,RELIANCE.NS
2022-12-08,1227.589599609375,1229.8970947265625,1218.40576171875,1222.62841796875,7757008,RELIANCE,RELIANCE.NS
2022-12-09,1221.1285400390625,1227.589599609375,1200.7532958984375,1204.0992431640625,12655763,RELIANCE,RELIANCE.NS
2022-12-12,1193.2078857421875,1210.5140380859375,1192.97705078125,1205.9451904296875,9479842,RELIANCE,RELIANCE.NS
2022-12-13,1205.9451904296875,1215.1290283203125,1202.9915771484375,1211.4371337890625,8333348,RELIANCE,RELIANCE.NS
2022-12-14,1217.2750244140625,1217.875,1204.97607421875,1207.0528564453125,7268947,RELIANCE,RELIANCE.NS
2022-12-15,1201.0533447265625,1206.822021484375,1186.51611328125,1189.9080810546875,8688551,RELIANCE,RELIANCE.NS
2022-12-16,1186.51611328125,1208.5758056640625,1180.5858154296875,1184.02392578125,15837349,RELIANCE,RELIANCE.NS
2022-12-19,1191.131103515625,1201.74560546875,1184.5316162109375,1199.5765380859375,7729933,RELIANCE,RELIANCE.NS
2022-12-20,1192.469482421875,1211.8985595703125,1184.2086181640625,1209.9603271484375,7467588,RELIANCE,RELIANCE.NS
2022-12-21,1209.591064453125,1215.1290283203125,1188.8697509765625,1192.746337890625,8527550,RELIANCE,RELIANCE.NS
