Date,Close,Volume,Instrument,Ticker
,INFY.NS,INFY.NS,,
2024-10-09,1835.548583984375,4857163,INFY,INFY.NS
2024-10-10,1803.8240966796875,4782119,INFY,INFY.NS
2024-10-11,1818.9578857421875,4709431,INFY,INFY.NS
2024-10-14,1841.329345703125,3751378,INFY,INFY.NS
2024-10-15,1841.70556640625,5353705,INFY,INFY.NS
2024-10-16,1804.858154296875,3111512,INFY,INFY.NS
2024-10-17,1849.9771728515625,8162822,INFY,INFY.NS
2024-10-18,1766.7889404296875,10526196,INFY,INFY.NS
2024-10-21,1741.5504150390625,4654601,INFY,INFY.NS
2024-10-22,1740.4693603515625,4125240,INFY,INFY.NS
2024-10-23,1760.9610595703125,4311910,INFY,INFY.NS
2024-10-24,1751.5142822265625,2906475,INFY,INFY.NS
2024-10-25,1750.2923583984375,4689120,INFY,INFY.NS
2024-10-28,1753.3941650390625,7018940,INFY,INFY.NS
2024-10-29,1748.5933837890625,4621252,INFY,INFY.NS
2024-10-30,1713.2276611328125,5919715,INFY,INFY.NS
2024-10-31,1670.589599609375,7395236,INFY,INFY.NS
2024-11-01,1674.0120849609375,371966,INFY,INFY.NS
2024-11-04,1676.6739501953125,7336722,INFY,INFY.NS
2024-11-05,1667.68994140625,3160880,INFY,INFY.NS
2024-11-06,1733.762451171875,10421494,INFY,INFY.NS
2024-11-07,1714.131103515625,4550965,INFY,INFY.NS
2024-11-08,1739.704345703125,4210960,INFY,INFY.NS
2024-11-11,1768.367431640625,3804234,INFY,INFY.NS
2024-11-12,1776.6385498046875,5012450,INFY,INFY.NS
2024-11-13,1776.2581787109375,4257495,INFY,INFY.NS
2024-11-14,1772.5980224609375,4311431,INFY,INFY.NS
2024-11-18,1722.1165771484375,4839244,INFY,INFY.NS
2024-11-19,1734.7607421875,4669769,INFY,INFY.NS
2024-11-21,1743.602294921875,5436504,INFY,INFY.NS
2024-11-22,1808.4388427734375,6301486,INFY,INFY.NS
2024-11-25,1796.507568359375,12764638,INFY,INFY.NS
2024-11-26,1829.2589111328125,6850495,INFY,INFY.NS
2024-11-27,1829.591552734375,4447143,INFY,INFY.NS
2024-11-28,1765.0875244140625,8468790,INFY,INFY.NS
2024-11-29,1766.2283935546875,5244346,INFY,INFY.NS
2024-12-02,1787.095947265625,2868263,INFY,INFY.NS
2024-12-03,1798.789306640625,4715792,INFY,INFY.NS
2024-12-04,1796.0799560546875,4705573,INFY,INFY.NS
2024-12-05,1839.4310302734375,9050038,INFY,INFY.NS
2024-12-06,1827.594970703125,3573331,INFY,INFY.NS
2024-12-09,1828.783447265625,4274645,INFY,INFY.NS
2024-12-10,1852.45556640625,6174921,INFY,INFY.NS
2024-12-11,1876.79296875,5025612,INFY,INFY.NS
2024-12-12,1889.0091552734375,6462130,INFY,INFY.NS
2024-12-13,1901.0828857421875,5362693,INFY,INFY.NS
2024-12-16,1882.4019775390625,3119221,INFY,INFY.NS
2024-12-17,1879.1220703125,5811050,INFY,INFY.NS
2024-12-18,1881.5465087890625,3064095,INFY,INFY.NS
2024-12-19,1850.2213134765625,5323592,INFY,INFY.NS
2024-12-20,1827.357421875,11056720,INFY,INFY.NS
2024-12-23,1829.4014892578125,2781793,INFY,INFY.NS
2024-12-24,1814.903564453125,2360544,INFY,INFY.NS
2024-12-26,1813.3348388671875,3623321,INFY,INFY.NS
2024-12-27,1822.2237548828125,3937500,INFY,INFY.NS
2024-12-30,1812.00390625,7789055,INFY,INFY.NS
2024-12-31,1787.2860107421875,3613063,INFY,INFY.NS
2025-01-01,1789.6627197265625,1838368,INFY,INFY.NS
2025-01-02,1861.2967529296875,7083645,INFY,INFY.NS
2025-01-03,1843.1387939453125,6218003,INFY,INFY.NS
2025-01-06,1842.2830810546875,7164403,INFY,INFY.NS
2025-01-07,1835.6282958984375,4294832,INFY,INFY.NS
2025-01-08,1837.81494140625,5482050,INFY,INFY.NS
2025-01-09,1822.74658203125,6833503,INFY,INFY.NS
2025-01-10,1869.947998046875,8036913,INFY,INFY.NS
2025-01-13,1865.4322509765625,5804152,INFY,INFY.NS
2025-01-14,1844.374755859375,5792162,INFY,INFY.NS
2025-01-15,1853.501220703125,2985439,INFY,INFY.NS
2025-01-16,1833.3466796875,7533579,INFY,INFY.NS
2025-01-17,1725.9193115234375,16409953,INFY,INFY.NS
2025-01-20,1723.87548828125,4333011,INFY,INFY.NS
2025-01-21,1711.896728515625,7169109,INFY,INFY.NS
2025-01-22,1764.8974609375,8373913,INFY,INFY.NS
2025-01-23,1773.4534912109375,5907471,INFY,INFY.NS
2025-01-24,1782.96044921875,4887027,INFY,INFY.NS
2025-01-27,1732.1463623046875,7652371,INFY,INFY.NS
2025-01-28,1739.5142822265625,6999495,INFY,INFY.NS
2025-01-29,1788.474365234375,5145155,INFY,INFY.NS
2025-01-30,1768.224853515625,7336056,INFY,INFY.NS
2025-01-31,1787.095947265625,5820470,INFY,INFY.NS
2025-02-01,1760.0489501953125,1701402,INFY,INFY.NS
2025-02-03,1771.40966796875,4823228,INFY,INFY.NS
2025-02-04,1805.158935546875,7334787,INFY,INFY.NS
2025-02-05,1803.495361328125,4996744,INFY,INFY.NS
2025-02-06,1821.177978515625,4765255,INFY,INFY.NS
2025-02-07,1809.769775390625,4126260,INFY,INFY.NS
2025-02-10,1787.5712890625,3828734,INFY,INFY.NS
2025-02-11,1783.1505126953125,4411601,INFY,INFY.NS
2025-02-12,1771.2669677734375,5633947,INFY,INFY.NS
2025-02-13,1752.348388671875,5237744,INFY,INFY.NS
2025-02-14,1764.849853515625,5292961,INFY,INFY.NS
2025-02-17,1751.4453125,4428956,INFY,INFY.NS
2025-02-18,1760.619384765625,4365260,INFY,INFY.NS
2025-02-19,1721.498779296875,4611411,INFY,INFY.NS
2025-02-20,1735.14111328125,2218020,INFY,INFY.NS
2025-02-21,1725.4915771484375,3379879,INFY,INFY.NS
2025-02-24,1677.101806640625,7594720,INFY,INFY.NS
2025-02-25,1680.524169921875,5092963,INFY,INFY.NS
2025-02-27,1677.2919921875,5757079,INFY,INFY.NS
2025-02-28,1604.4696044921875,12182167,INFY,INFY.NS
2025-03-03,1624.3388671875,7504969,INFY,INFY.NS
2025-03-04,1605.0399169921875,6759673,INFY,INFY.NS
2025-03-05,1627.0958251953125,8180782,INFY,INFY.NS
2025-03-06,1631.231201171875,10610547,INFY,INFY.NS
2025-03-07,1602.853271484375,8019331,INFY,INFY.NS
2025-03-10,1617.5413818359375,7558981,INFY,INFY.NS
2025-03-11,1579.6566162109375,12671234,INFY,INFY.NS
2025-03-12,1512.3956298828125,14870008,INFY,INFY.NS
2025-03-13,1501.938232421875,7822888,INFY,INFY.NS
2025-03-17,1511.63525390625,7526032,INFY,INFY.NS
2025-03-18,1511.63525390625,0,INFY,INFY.NS
2025-03-19,1508.307861328125,7387068,INFY,INFY.NS
2025-03-20,1535.8778076171875,7186750,INFY,INFY.NS
2025-03-21,1514.011962890625,10074677,INFY,INFY.NS
2025-03-24,1514.2021484375,8857726,INFY,INFY.NS
2025-03-25,1548.1414794921875,9890140,INFY,INFY.NS
2025-03-26,1520.571533203125,6651302,INFY,INFY.NS
2025-03-27,1524.469482421875,9426573,INFY,INFY.NS
2025-03-28,1493.19189453125,6799047,INFY,INFY.NS
2025-04-01,1451.21923828125,12680733,INFY,INFY.NS
2025-04-02,1473.7030029296875,6193478,INFY,INFY.NS
2025-04-03,1422.69873046875,10459504,INFY,INFY.NS
2025-04-04,1380.0606689453125,9590254,INFY,INFY.NS
2025-04-07,1327.8680419921875,21715252,INFY,INFY.NS
2025-04-08,1358.3375244140625,12805001,INFY,INFY.NS
2025-04-09,1334.4752197265625,8546854,INFY,INFY.NS
2025-04-11,1339.941650390625,12567440,INFY,INFY.NS
2025-04-15,1355.675537109375,10178530,INFY,INFY.NS
2025-04-16,1343.4117431640625,12022740,INFY,INFY.NS
2025-04-17,1349.49609375,14264227,INFY,INFY.NS
2025-04-21,1379.442626953125,15648970,INFY,INFY.NS
2025-04-22,1352.6334228515625,9399738,INFY,INFY.NS
2025-04-23,1402.1640625,11136642,INFY,INFY.NS
2025-04-24,1398.836669921875,7114292,INFY,INFY.NS
2025-04-25,1407.2025146484375,8329979,INFY,INFY.NS
2025-04-28,1409.0087890625,5886253,INFY,INFY.NS
2025-04-29,1423.6494140625,8056743,INFY,INFY.NS
