Date,Close,Volume,Instrument,Ticker
,^NSEI,^NSEI,,
2024-12-03,24457.150390625,339500,NIFTY 50,^NSEI
2024-12-04,24467.44921875,348000,NIFTY 50,^NSEI
2024-12-05,24708.400390625,361500,NIFTY 50,^NSEI
2024-12-06,24677.80078125,226700,NIFTY 50,^NSEI
2024-12-09,24619.0,248100,NIFTY 50,^NSEI
2024-12-10,24610.05078125,261000,NIFTY 50,^NSEI
2024-12-11,24641.80078125,187300,NIFTY 50,^NSEI
2024-12-12,24548.69921875,266100,NIFTY 50,^NSEI
2024-12-13,24768.30078125,310100,NIFTY 50,^NSEI
2024-12-16,24668.25,187600,NIFTY 50,^NSEI
2024-12-17,24336.0,264900,NIFTY 50,^NSEI
2024-12-18,24198.849609375,235300,NIFTY 50,^NSEI
2024-12-19,23951.69921875,271100,NIFTY 50,^NSEI
2024-12-20,23587.5,442700,NIFTY 50,^NSEI
2024-12-23,23753.44921875,189800,NIFTY 50,^NSEI
2024-12-24,23727.650390625,177700,NIFTY 50,^NSEI
2024-12-26,23750.19921875,177700,NIFTY 50,^NSEI
2024-12-27,23813.400390625,176800,NIFTY 50,^NSEI
2024-12-30,23644.900390625,364900,NIFTY 50,^NSEI
2024-12-31,23644.80078125,193600,NIFTY 50,^NSEI
2025-01-01,23742.900390625,154900,NIFTY 50,^NSEI
2025-01-02,24188.650390625,283200,NIFTY 50,^NSEI
2025-01-03,24004.75,312300,NIFTY 50,^NSEI
2025-01-06,23616.05078125,278100,NIFTY 50,^NSEI
2025-01-07,23707.900390625,262300,NIFTY 50,^NSEI
2025-01-08,23688.94921875,266400,NIFTY 50,^NSEI
2025-01-09,23526.5,269200,NIFTY 50,^NSEI
2025-01-10,23431.5,261000,NIFTY 50,^NSEI
2025-01-13,23085.94921875,316500,NIFTY 50,^NSEI
2025-01-14,23176.05078125,311200,NIFTY 50,^NSEI
2025-01-15,23213.19921875,228000,NIFTY 50,^NSEI
2025-01-16,23311.80078125,299400,NIFTY 50,^NSEI
2025-01-17,23203.19921875,272900,NIFTY 50,^NSEI
2025-01-20,23344.75,301500,NIFTY 50,^NSEI
2025-01-21,23024.650390625,312900,NIFTY 50,^NSEI
2025-01-22,23155.349609375,276000,NIFTY 50,^NSEI
2025-01-23,23205.349609375,275600,NIFTY 50,^NSEI
2025-01-24,23092.19921875,264300,NIFTY 50,^NSEI
2025-01-27,22829.150390625,257400,NIFTY 50,^NSEI
2025-01-28,22957.25,361900,NIFTY 50,^NSEI
2025-01-29,23163.099609375,226300,NIFTY 50,^NSEI
2025-01-30,23249.5,361900,NIFTY 50,^NSEI
2025-01-31,23508.400390625,304900,NIFTY 50,^NSEI
2025-02-01,23482.150390625,281000,NIFTY 50,^NSEI
2025-02-03,23361.05078125,329700,NIFTY 50,^NSEI
2025-02-04,23739.25,376700,NIFTY 50,^NSEI
2025-02-05,23696.30078125,267000,NIFTY 50,^NSEI
2025-02-06,23603.349609375,307000,NIFTY 50,^NSEI
