Date,Close,Volume,Instrument,Ticker
,HDFCBANK.NS,HDFCBANK.NS,,
2024-07-10,789.1544189453125,45507182,HDFCBANK,HDFCBANK.NS
2024-07-11,787.1161499023438,44177074,HDFCBANK,HDFCBANK.NS
2024-07-12,787.5043334960938,56049960,HDFCBANK,HDFCBANK.NS
2024-07-15,787.2131958007812,33375694,HDFCBANK,HDFCBANK.NS
2024-07-16,786.07275390625,28950324,HDFCBANK,HDFCBANK.NS
2024-07-18,783.6704711914062,33717064,HDFCBANK,HDFCBANK.NS
2024-07-19,780.03076171875,26002152,HDFCBANK,HDFCBANK.NS
2024-07-22,797.1376953125,53744822,HDFCBANK,HDFCBANK.NS
2024-07-23,785.4176025390625,52002152,HDFCBANK,HDFCBANK.NS
2024-07-24,778.4534912109375,61728206,HDFCBANK,HDFCBANK.NS
2024-07-25,784.5440673828125,25535732,HDFCBANK,HDFCBANK.NS
2024-07-26,785.2962646484375,43810540,HDFCBANK,HDFCBANK.NS
2024-07-29,778.9387817382812,51001148,HDFCBANK,HDFCBANK.NS
2024-07-30,784.0344848632812,54595834,HDFCBANK,HDFCBANK.NS
2024-07-31,784.1314697265625,37820484,HDFCBANK,HDFCBANK.NS
2024-08-01,795.3178100585938,26215174,HDFCBANK,HDFCBANK.NS
2024-08-02,805.1937255859375,44119238,HDFCBANK,HDFCBANK.NS
2024-08-05,784.1314697265625,41333634,HDFCBANK,HDFCBANK.NS
2024-08-06,777.0703125,45116050,HDFCBANK,HDFCBANK.NS
2024-08-07,787.892578125,42346264,HDFCBANK,HDFCBANK.NS
2024-08-08,797.21044921875,33976950,HDFCBANK,HDFCBANK.NS
2024-08-09,800.8502197265625,26644618,HDFCBANK,HDFCBANK.NS
2024-08-12,805.65478515625,39316196,HDFCBANK,HDFCBANK.NS
2024-08-13,778.0408935546875,54055042,HDFCBANK,HDFCBANK.NS
2024-08-14,780.2733764648438,32334428,HDFCBANK,HDFCBANK.NS
2024-08-16,792.0662841796875,27849246,HDFCBANK,HDFCBANK.NS
2024-08-19,791.79931640625,19502164,HDFCBANK,HDFCBANK.NS
2024-08-20,794.7839965820312,31134494,HDFCBANK,HDFCBANK.NS
2024-08-21,789.0089111328125,47630904,HDFCBANK,HDFCBANK.NS
2024-08-22,791.6780395507812,21300638,HDFCBANK,HDFCBANK.NS
2024-08-23,788.6448364257812,20333422,HDFCBANK,HDFCBANK.NS
2024-08-26,795.8759155273438,22364266,HDFCBANK,HDFCBANK.NS
2024-08-27,794.8082275390625,35773244,HDFCBANK,HDFCBANK.NS
2024-08-28,794.4927978515625,26921188,HDFCBANK,HDFCBANK.NS
2024-08-29,795.1964721679688,49052604,HDFCBANK,HDFCBANK.NS
2024-08-30,794.395751953125,445342100,HDFCBANK,HDFCBANK.NS
